subject,theta,Lambda,alpha,tau,beta,gamma,error
f9a528a4-cd95-47cd-af5d-fd7488fa2f5f,0.3050000000000006,1.7930787107034052,0.962541769001255,0.12272497553835555,0.88,0.23570944798994603,-0.0022028799894784614
8374ce52-07eb-4861-a570-7d92355dbb9a,0.35700000000000165,3.815126739218803,0.9602182737832665,0.14408690887012504,0.88,0.2178600437121273,-0.002460674547628566
13785ad5-8555-462f-9207-e9038cd838a2,0.30700000000000327,1.792702917390103,0.9621845654701161,0.12272758469940212,0.88,0.19492354971957568,-0.02835842714221007
781f10e6-4241-46bb-a233-43d993723633,0.3025000000002093,1.7920206807847436,0.9135681025987454,0.06088848257655116,0.88,0.13265302739637402,0.005530151078150062
bf5cdead-3fa0-468a-86a6-f29b1c4d0665,0.2789999999995346,1.7920595931702616,0.961000014234956,0.12174798298181329,0.88,0.2444187143565787,0.011556733829567838
2fbb0673-a652-4c22-9d56-67076478a32e,0.396873786132681,1.8019894021735454,0.9314547223879188,0.08017674871978225,0.88,8.049626467700257,0.009786823704335831
07bbb566-d0e4-4582-ab6a-28d93e7ab47f,0.3016666666664358,1.7941275183109804,0.9612832519415009,0.12239206203164746,0.88,0.15338585259559095,-0.0010182597952269046
2f1c79ff-1730-45f9-a0c7-04d071d4d3b1,0.2969999999999972,1.792664352124929,0.9630864855311405,0.12282771114037283,0.88,0.2227610579869889,0.0008087303030481626
