,mu,sigma,exp(mu)
theta,-1.14466507913457,0.22880181248419162,0.31833051547026314
Lambda,0.7329797552975372,0.3858961064308266,2.08127306152437
tau,-1.96152338076932,0.295034654215115,0.14064400327274448
alpha,-0.0352108814605467,0.038622471913964826,0.9654018094462797
gamma,-0.0406987697950696,0.7086903259065194,0.9601183030249573
error,,1.0180931324556557,
