subject,theta,Lambda,alpha,tau,beta,gamma,error
f9a528a4-cd95-47cd-af5d-fd7488fa2f5f,0.23249999999999327,1.8029610023401856,0.9309795652441565,0.06590011743750951,0.88,1.6648384133290048,-0.0004716360915874903
8374ce52-07eb-4861-a570-7d92355dbb9a,0.3094444444444463,1.7920213217001029,0.9607549706096317,0.11938245087462734,0.88,0.24999774199442082,0.01990989350462298
13785ad5-8555-462f-9207-e9038cd838a2,0.4675000000000001,1.7956746031501178,0.9625759136588398,0.11205534846312211,0.88,4.343397219924396,-0.025314714330850013
781f10e6-4241-46bb-a233-43d993723633,0.30250000000007693,1.7895585657315802,0.9609387996167658,0.12305108452897986,0.88,0.11291051617980588,0.005657822338839437
bf5cdead-3fa0-468a-86a6-f29b1c4d0665,0.291875,1.7727399660753398,0.919095643770226,0.058311775603189314,0.88,0.8595622875370086,0.009560866684607743
2fbb0673-a652-4c22-9d56-67076478a32e,0.30300000000000454,1.7927071161750257,0.9598053088265274,0.12195421780699445,0.88,0.18343346234048752,-0.005862152769349996
07bbb566-d0e4-4582-ab6a-28d93e7ab47f,0.30833333333333535,1.7934726262803538,0.9615508069462639,0.12181774736007765,0.88,0.16697194001872434,0.006941289944730442
2f1c79ff-1730-45f9-a0c7-04d071d4d3b1,0.3130000000002694,1.794070336087621,0.9624956223814548,0.11999073757114495,0.88,0.2367991787883405,-0.009114838259576914
