,roc_auc_stan,roc_auc_MLS,stan_time,MLS_time
0a04d929-5375-4b88-9113-e1657133b79b,,,,
ddc6ff6a-d780-4c36-8575-63689a268408,,,,
3688ca91-fce9-453c-b368-3e4203cd5e9b,,,,
8985f0bb-1d01-47c4-940e-621ec5b626c2,,,,
6d3a1d45-e534-4f76-9e27-22e0eeb7de66,,,,
889ec580-ba73-4950-92d8-525c194bfd98,,,,
5f0a85de-b646-4f69-8f80-91b8ebcbc0bd,,,,
5107084d-8d16-4309-841c-df42f3d9db0f,,,,
ef318b60-4f2b-4daf-aca5-8c40c2271e11,,,,
08a2b236-d449-42c7-a8dc-4b65b09e1abf,,,,
2a006958-4e16-444b-8f8d-77f81ad57f8c,,,,
0ee64273-a102-412b-ad6e-4597aa90dbf4,,,,
bc8d4259-f31a-469c-ae16-df2f6007a780,,,,
24e300af-accb-4610-a15a-00b5b9cd8e4d,,,,
ca503989-5d44-4755-8359-ceeadba3135a,,,,
f24d2b01-9181-4959-920a-508e8df07ec9,,,,
5d0e3819-5e5f-4842-b925-6cf1cc866019,,,,
36eb2260-c030-4e6e-af02-68d9a6d72e07,,,,
50624844-47f0-4a2d-a338-38a0ae12de6c,,,,
66a43871-29fb-4472-93bc-d6fd05fde41d,,,,
bdc72eb4-6485-4636-8592-50ba067ee50f,,,,
3b3041dd-cb44-461b-b031-8f554e262397,,,,
309b9394-d7c4-47eb-b32b-7dfd76893d99,,,,
03048d5c-41d5-4103-889f-41e55f615e0c,,,,
e67f13b3-2d84-4444-a509-dec8214744be,,,,
3e3174dc-c5a4-4772-b924-e3a4aaab6d13,,,,
0876e5de-ddb5-4e8d-b7e9-5bdb41b6859f,,,,
44335916-fc2f-4c8e-978f-e1fa73f106af,,,,
1a58efa6-6c17-4d04-b56f-c8ef001ad208,,,,
c51818c3-af88-49f8-9e30-9845198ac05a,,,,
8d529f95-38cf-4e8b-9b1f-735522df853d,,,,
39f3e608-63c8-4d94-b714-491ca3019c42,,,,
f3f1a912-72a0-41f9-8ee4-c00a2c83e07b,,,,
4f38fc8b-791e-4552-95cf-1b40d999a3d5,,,,
f02dba44-05a6-41b4-886d-48a317cdcba6,,,,
02bcf966-6938-4334-9f77-e605391f8d30,,,,
46ef7b86-b8eb-4082-bbfd-fe2e2d67cd2d,,,,
6a8f58e5-7021-4be7-8c6e-bdee1f41df40,,,,
212d1d8b-e283-45a9-97a9-0749cd48a1a1,,,,
a88229bd-0633-466b-8e47-d2fbd5bcd821,,,,
9a15c52d-ac08-48c4-973d-9abb2e40a5ad,,,,
e52a0c7f-be7c-4e32-9b9e-35c0cfd30242,,,,
0e7a9136-a55b-4a32-8cff-9cbc38637fa7,,,,
5c75c017-1e74-4ceb-81d9-45ccaf38022d,,,,
6512e797-f1e8-4454-8cf9-9ff94fe69d34,,,,
403d8287-ff54-4b7c-920b-2a5a5ef37db3,,,,
315ef367-c536-4d53-a38c-61199b15ab36,,,,
54a4de9f-6ee5-4a58-8385-7af27c25657a,,,,
f970eea5-af6e-4619-a2a5-413e983b07f5,,,,
ba86f7b3-7e7a-4150-b196-b5ab8a51b4a1,,,,
c8f405ff-1ae6-445c-8b39-53c6c8bd6903,,,,
86d67221-9946-4a40-a57e-2f26913f01c7,,,,
f8cec3fa-a144-4b1e-a359-b8fffff5a37b,,,,
943eb506-ce22-43e9-8429-90121ea20c43,,,,
b2ff2cab-5063-46c4-98c1-d8051b9786d1,,,,
648e2a7a-4007-4711-a847-a13f8fe3428f,,,,
832e058c-ccaa-4610-b459-06c2575e30f4,,,,
3c603817-6960-4416-8e66-66a59ddd2f8b,,,,
697db575-f9ac-4f6f-8e14-c69f7cca9962,,,,
6c8cfddb-5fee-43a8-85f9-41342b659078,,,,
39e4b680-250a-4812-9f95-ff0c8a3fe98c,,,,
4495b7c8-dd00-4f35-9142-112a0dbd2ac8,,,,
ce250ad8-cf6b-4821-8371-31e4d83e3a04,,,,
9a733c73-cb23-432b-918b-304fc9524d4c,,,,
e0ec4ff7-70ee-497d-8c56-539f70dfd86e,,,,
63d56ae6-5994-4ce7-a162-b6dca71d747b,,,,
50fa9ed8-5aff-4004-bbb8-49a49d1bed85,,,,
35f5825c-55df-45ab-a340-3028df40a689,,,,
69520d2b-7bcc-415e-9ac3-bd90e1ac32d8,,,,
9ea0b575-d3b9-47ef-97ad-46e0997d604b,,,,
6a9e120c-4208-416a-90b2-50df2fbaa379,,,,
e2d298e6-44b2-4b26-88a3-9f46a73cb0fe,,,,
7d878276-e81d-4278-97df-d730f9650d16,,,,
9f450acf-29e0-438a-bddd-46d12fd91500,,,,
316c8699-2fa6-4c2b-91d3-77819d345b12,,,,
6deea221-3191-4055-8480-83428c05fb81,,,,
d922f35c-77f4-4c47-939e-7baaa4f3748b,,,,
60d84f4f-58bd-4696-9c85-702426adb3f7,,,,
a282c082-b41b-4206-9851-c76d68384a1d,,,,
94fc4b7d-c9f0-481e-ab59-a872b520de33,,,,
424b157a-1329-4bd0-a130-c12112584128,,,,
d79a344c-75bf-4f32-a35c-56cf9c2b5a68,,,,
cbb92bd6-942b-412d-a427-6662aaec8c43,,,,
b5013f6f-99b1-4be3-b88c-2c5e4b0d54ab,,,,
839ecb37-bc1f-4d66-86a7-0402df24d9bd,,,,
6ac2f773-6fe8-4681-b554-7dcb09bb8256,,,,
83016e53-63a1-4bfd-8de2-6b7c5005d0c6,,,,
c7c351de-5295-4665-9b17-8b4f21638c32,,,,
0c23ba08-0eca-4c9a-aff4-55c2050ef9f6,,,,
29d30b08-aa47-48ed-9898-f422298faa33,,,,
3ae2063c-2033-4788-b1ad-b51819b3affe,,,,
ed0edcbb-6e43-45b7-9463-acb94f70d423,,,,
57dda03a-325f-4bd2-be8d-c235997fe2bb,,,,
8a7d13d7-1fe9-47a6-bbcf-3e73447acaa3,,,,
3b4ade15-ba70-4311-b3b1-15e82d77823c,,,,
85c366ee-2d51-456d-80c0-de4934a54b3c,,,,
fb36ff51-6dfa-4452-986d-4939b635405a,,,,
069815e1-b96c-483f-83c0-49b0cda06133,,,,
ba07c0ed-ff02-400e-8d01-e6fcc55b9717,,,,
e0b03141-831e-48c6-8090-7d5c424e17d1,,,,
5c3a94e9-66d0-4db9-a48b-65381ba408b9,,,,
0398132a-347d-4c6e-a2d8-0584f15c6af6,,,,
0771ee3a-607a-41cf-92db-f28e8c213b61,,,,
c8e55ab4-1629-4b82-9819-e0708b8714c1,,,,
19f64bf4-9284-4e0c-acc6-fea209adebd8,,,,
a66fae72-3432-4a61-807d-3f7e1c0fe5c4,,,,
0b52b11e-43ed-4e8c-b0e7-576f083a8e22,,,,
28c7eda3-0a2f-453d-b446-f3d16079df5a,,,,
eaa00240-48f1-4fe2-b7bd-989683cdd73e,,,,
